10110001 11111000 11111110 11111111 11111111 11111111 11111111 11101101 11111111 01111111 11110010 10100111;84.525784
11111111 11110110 11101111 11110111 10111110 11110110 10111011 10100111 11111100 01100100 11111101 01011110;5.57
11000010 00001111 11111111 10111111 11101011 11110011 01111110 11011111 11111111 11111111 11111001 01101110;857.71284
11111111 01110111 10111011 11001101 11111011 11101010 11110100 01001101 11011111 11111010 10010110 10111111;66.92
11111011 10010001 11111011 11111101 10011111 10111110 01111100 11011101 10111001 11111110 11101111 11110110;188.87
11101111 11110001 01101110 11111110 11101101 11110100 11101111 11110111 01111101 01110010 11110101 01101111;7981439714.
10111111 01111101 10101110 10011110 01111110 11110111 10011111 11110100 01101110 01110111 01100111 11011100;50582737602.1
01110000 11111110 10100111 01101110 11101111 10100111 11010001 01111100 11011111 11111011 10111011 01111011;45765639808.3
11111111 01111111 11011110 11100111 11011110 11111100 11011110 10110001 11101101 10111101 01010000 11011111;42.6
10101110 11100111 01111110 01010111 01101111 10110110 11011011 11110110 11101111 00110011 11101011 01101101;2398349.17437
11111111 11111110 11111111 11111110 11111111 11111111 11111111 10111110 11110110 11111110 11111111 11111110;92008695305.4
11101111 11001111 11110011 11111110 11111011 01110111 01111111 01010111 11110000 10101110 11111110 10101111;800.3
01111111 01111101 11111110 00111111 11011111 11001101 10101111 11111111 10110010 11111111 01110111 11111010;6574418359.61
01110101 11011000 01101111 11110111 10111101 10101101 11111111 11101111 10111101 01011100 01110011 01110000;4.31
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 11100001;7.
11111111 10111110 01111111 11101011 01111111 10110011 11011111 01010011 00110011 01111100 11100111 10011010;12639493057.4
10011111 11111101 11011101 11111111 11111110 11110111 10111111 11110100 11011110 11110010 11110110 11101010;9856.7
11111111 01111111 11011111 10111111 11111111 01111111 11111111 10110110 11111111 11111110 11100111 10101111;242524.25994
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 11100000 00000000;7.
11111001 11011110 11111111 10111111 11111110 11110110 00111001 10101101 01111100 01100100 11101111 11111111;123.534
10111010 01101111 10111011 11111110 11101111 11111101 11111111 11111111 11111111 11101111 11111101 00111001;4405.65
10111111 10101001 11001101 11111111 01011110 01111110 11011111 11111111 01111101 10101001 00101111 10110001;80467.
11111100 11101101 11101111 01110010 01110011 11111111 11111111 11111111 11101111 11111111 11111111 01001100;1.11317133
10111010 11110111 10111111 01101111 11110101 11011111 10110111 10111110 10011011 11111101 11001010 11010101;6446536.72652
01110110 01111011 11111111 11111110 11011111 10110111 11010111 01011111 11111001 00100100 11011011 11101111;55308282809.
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 11100001 00000000;7.
10101111 10101011 01111111 10011001 11110011 11011111 11011110 11101011 11101110 10011100 10011111 01111010;51782261.
01111110 11111110 01011111 11110110 01111011 10111001 11011110 11111111 11001111 11100111 01111001 11011011;112.6
01110111 11101010 11111111 10111111 11111111 11111011 11111111 11111111 11011111 01111111 11010101 10101010;56573.024
10111111 11111110 11111000 01011111 11011010 10011110 10101111 10000111 11011110 11011111 01011101 11001110;3504360.865
01010111 01111111 11111111 11110111 11111110 11110110 11111111 11111111 10110111 11111111 11111011 11001111;404.898854
01111010 11110101 11111010 01111011 01010111 10011010 01010111 01111111 11111011 10101011 10110010 10110111;653992.9219
11011111 01111101 01111110 10111101 01111111 11000111 11011111 11111111 11111111 11110110 11111000 01101110;8348478.48
11101101 11111111 11111111 11110111 11111111 11111111 11111111 11110111 11111111 11111100 11110111 11110111;6697229079.
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 11100000;7.
00101011 11101101 00111100 01100110 10111111 11101000 10111101 10111101 01110101 11110011 10011010 01101111;800.9585
01000001 00100111 01101111 01011101 11001011 01100111 11101011 10110001 11110100 11101011 10010101 10011110;84.313
10111100 11010111 00111111 10111110 11101100 10111100 00111110 11011011 11001011 11110011 11011111 10111001;94426.433967
11101110 11111111 11101101 11111101 11111111 11111110 10011011 10110011 11101011 11110001 11110110 10111011;70.2676
10011011 11111111 11111111 01111111 11110111 11111110 01110111 11111111 11111110 01101111 11101001 10110111;643916.31
11111111 11101001 11101111 11110101 11110111 11110111 11101111 00111110 11111110 11011110 11011110 10111111;57779.74
11011110 01111101 00100101 11111011 10011010 11111111 11111111 11111001 11111111 10101100 10011110 10111011;78.78
11111111 11111111 11111101 10111110 11101111 10111110 11111110 11111110 11101110 11011101 10111100 00010011;46064.6321
11111111 11111111 11111111 11110110 11111111 11011010 11111111 11101011 01111111 11111011 11111111 01111000;38395227134.
11111111 11111111 11111111 11111111 01111110 11111011 11111111 11111101 11111011 11110010 01111111 11100111;86343601.3
11111111 11100111 01111101 00110110 00110011 01111110 11111100 11101111 11111010 11111111 01111011 01001010;8.
11111111 01010111 01111101 01111101 01101011 01111111 11111101 11110111 11011110 10111010 01111111 11100010;72902489639.4
11110011 01100000 01000110 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000;3.14
11011011 10111111 11001001 11011101 11111111 11111111 11101110 11011111 10111100 01011101 11101011 11110111;5.
11111100 01111101 11010011 01110111 10111110 01111101 11101111 10110101 01111111 11110010 01011111 11101101;975.
11110111 11101011 11101111 10111111 11101111 10101110 01101111 00110100 11111011 11111111 11100111 11100111;354.1
11111011 11111011 11111110 11110010 11111111 11111111 11111111 11101101 10111111 11100111 01111111 10010011;73.63662764
11101110 01101100 00111110 11101011 11111100 01011100 01011011 11101110 11110000 00110011 10010111 00001000;340939.139
11011010 10011110 11101011 11011011 01111011 01011001 01101011 11101101 10100111 00110001 01001101 11111001;5.11
00101011 11000101 11111110 11111011 11111110 10111011 11111111 00110110 11110110 11110111 11010111 11010001;1.
11011110 01111011 01101111 10100110 11100110 11100100 11011111 01110010 01111111 11010111 00011111 11111111;2.61722938
11111111 10111110 11110111 11111111 11111111 11111101 11110111 11110111 11110110 11111111 00111110 01001100;699919.
11110111 11111111 00111111 10111011 11111111 11110111 11101110 01111110 00100110 11101111 11100110 10111100;261625.9
01001111 10010100 10111111 10101011 11011111 10111011 11011111 11110111 11100110 01111011 11111011 01111110;1.
10111110 11111111 11111111 11111111 11101111 11111111 11111110 11111110 11111100 11111011 01111101 01111110;548542.8002
00011000 11111001 11011110 11111011 11111111 11111111 11111011 01110111 11111011 11111111 01100100 01010001;722.893123
01101111 11001011 00001111 11000100 11100101 10101010 01111110 11111100 11001111 10111111 01111111 11000011;2250069.73
01011111 01111101 00110101 10110111 11011101 00011001 11111010 11100111 11111111 01111011 11110001 11101111;14.3
11100011 11000110 11110111 11111101 11111110 11111011 11111111 11111111 11110110 11111111 11111111 10001011;3.00335711
01011111 01111110 10111111 11101011 10101101 11011111 01011010 11001100 11111111 00101000 10100110 11011111;6.2
00111111 11011111 01110110 01111101 11111111 11011010 00111101 01110100 10110110 01011111 11011101 00111011;7858883.25
00000000 00000000 01100110 11011011 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000;42.
11111111 10111111 11111011 11110001 01111111 01100101 11101111 10101111 00011001 01011101 11101111 11111111;839222.6
11111001 10001000 01010101 11000111 11100111 11111011 10110101 00111010 11101000 11101011 10111011 11011110;864.5914
11111100 11110110 11111110 11011111 11101101 11111111 10111111 11110101 11111111 11111111 11101111 11111110;7962.73576648
11111111 01101111 11110011 10111111 11010110 00101111 10111111 11010110 10111100 10111111 11111111 10111111;79.63805646
00111111 11111111 11111111 11110111 11111111 11111111 10111111 11111011 11111111 11011001 01111111 01110111;22943622.
11110111 11111111 11111111 11111111 11111011 11111111 11101111 11111110 11111111 11111111 10011111 01000111;3654.284689
11111011 11001111 11001011 10100110 11111100 11111110 11100011 10011111 11111110 01000101 10101111 11101100;2.
11000111 10101110 00111101 11011011 01111111 10000110 00111111 11101111 00101010 11001111 01011111 01101111;3.
11110111 11111111 11111011 11111110 10111110 10111111 11111111 11111111 11111111 11111110 01111101 11111111;3.3286538861
00011010 11011101 11100101 11111011 11111110 11111111 10111010 00111011 01101111 11101111 11111111 10110111;73.53
11111011 11111111 11101111 11111111 11111111 11111111 11111001 11111110 11111101 11111111 11110010 11111111;204178150672.
10011111 11100001 00111011 10100101 11110111 11111100 11111111 01001011 11101011 11110001 11111111 11001111;1.
10111111 10111101 10111011 10100101 10011011 00011011 11101111 01111111 11000111 10100111 01110110 10110111;1939.24029811
01011111 11101001 10111111 11110111 11111111 11111111 10111111 11111111 11111111 11111111 11111011 11111011;59805651.3
11111011 10101110 11111110 11110110 11110111 01010111 10111110 01011000 11100011 11111100 00110111 00111011;29.862
11011111 10101010 11111001 11011100 11110110 01011101 00101101 01011111 11101111 11011111 01111011 11111011;4.9
00000000 00000000 01100110 11011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000;42.
00100010 01111111 01001111 10101110 10100111 11111100 01000011 01110111 11111111 11110011 10110111 01011111;9.
10010111 11011111 01111111 01100111 11100111 11100110 01101000 01010101 11000111 11011111 01111111 11011001;71.9
01110110 01111011 11111111 11101101 01110110 10111111 10111000 11011000 11000011 11100011 11111001 00110111;908222.99481
11010111 11101111 10111111 00111110 01001111 11101000 11111110 01111001 11101111 10110110 10100011 00110011;761395.79
11110101 01011111 10010111 11011111 01011111 11101101 11101111 11101101 11101010 01101101 11111111 11111111;20.
11001011 11110111 11111001 01111111 11100101 11110011 00111111 01111111 10100101 11110101 11111011 11111011;601034.
11110011 01100000 01100110 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000;3.14
11011101 01110110 11000111 11110111 01101110 11111110 11110111 11100010 11111111 11110011 11110111 10011111;348378.73
01100100 01111111 11110110 10111111 01111111 10011001 01111101 00111111 01011011 10101010 11111111 00100101;8971701.2487
11101011 00111111 11111010 11011111 00011011 10110011 10111110 11101111 11101011 11011100 10001011 01010101;8938.7
01110011 11011011 11011010 11111111 11111111 11111111 11111111 11110110 11111111 11011011 11101111 11011011;2892.346
01111101 11101101 11110101 10001101 10010100 11110110 10000110 11111111 11111111 11011111 11110000 11110101;8.727
00011110 01101011 00111111 11000111 11111111 10111111 11111101 11111111 11111111 11111111 11111011 01101110;95.0528
11101101 01011101 11101111 00111111 10111110 11111011 11111111 10111111 10111111 11111011 11111000 11101110;7.26527
11100101 10001111 11101110 11001111 10111111 11011111 11001111 11111001 01111111 11011110 01100000 00111101;14.5
10111110 01111001 11111111 11111111 11100100 11111110 11111111 01100101 11111111 11011110 11110111 01110111;8.616611
